area_est,severidad,x,y,altura,forma_vida,origen
china_muerta,alta,4.45,1.82,10,herbaceo,nativo
china_muerta,alta,4.75,1.6,10,herbaceo,nativo
china_muerta,alta,4.25,2.56,10,herbaceo,nativo
china_muerta,alta,3,1.75,10,herbaceo,nativo
china_muerta,alta,0.25,5.6,10,herbaceo,nativo
china_muerta,alta,0.2,7.08,24,arbusto,nativo
china_muerta,alta,0.63,8.75,10,arbusto,nativo
china_muerta,alta,0.6,8.9,10,arbusto,nativo
china_muerta,alta,1.1,8.05,10,arbusto,nativo
china_muerta,alta,1,8.7,10,arbusto,nativo
china_muerta,alta,1.8,6.8,10,herbaceo,nativo
china_muerta,alta,4,5.3,10,arbusto,nativo
china_muerta,alta,3.8,5.05,10,arbusto,nativo
china_muerta,alta,3.6,8.7,10,arbusto,nativo
china_muerta,alta,5.25,9.1,10,arbusto,nativo
china_muerta,alta,7.8,9.4,10,arbusto,nativo
china_muerta,alta,7.65,9.3,10,arbusto,nativo
china_muerta,alta,7.35,9.7,10,arbusto,nativo
china_muerta,alta,7.15,9.65,10,arbusto,nativo
china_muerta,alta,6.9,9.8,10,arbusto,nativo
china_muerta,alta,7.2,9.9,10,arbusto,nativo
china_muerta,alta,7.4,9.6,10,arbusto,nativo
china_muerta,alta,7.5,9.6,27,arbusto,nativo
china_muerta,alta,9.99,8.5,10,herbaceo,exotico
china_muerta,alta,9.9,8.4,10,herbaceo,exotico
china_muerta,alta,9.99,8,10,herbaceo,exotico
china_muerta,alta,5.95,6.1,10,herbaceo,nativo
china_muerta,alta,6.05,6,10,herbaceo,nativo
china_muerta,alta,6.3,5.38,10,arbusto,nativo
china_muerta,alta,6.67,5.36,10,arbusto,nativo
china_muerta,alta,6.93,5.5,10,arbusto,nativo
china_muerta,alta,4.5,5.4,10,arbusto,nativo
china_muerta,alta,5.8,4.6,10,arbusto,nativo
china_muerta,alta,6.6,4.43,10,arbusto,nativo
china_muerta,alta,6.58,4.41,10,herbaceo,nativo
china_muerta,alta,6.48,4.46,10,herbaceo,nativo
china_muerta,alta,8.5,3.9,20,arbusto,nativo
china_muerta,alta,8.4,4,20,arbusto,nativo
china_muerta,alta,8.7,3.75,10,arbol,nativo
china_muerta,alta,5.9,1.4,10,arbusto,nativo
china_muerta,alta,1.54,10.9,18,arbusto,nativo
china_muerta,alta,1.47,12.4,10,arbusto,nativo
china_muerta,alta,0.09,18.2,10,arbusto,nativo
china_muerta,alta,0.93,17.9,10,arbusto,nativo
china_muerta,alta,1.2,18.3,10,arbusto,nativo
china_muerta,alta,1.45,18.7,10,arbusto,nativo
china_muerta,alta,2.93,17.4,10,arbusto,nativo
china_muerta,alta,3.2,16.24,10,arbusto,nativo
china_muerta,alta,3.8,15.94,10,arbusto,nativo
china_muerta,alta,4.05,16.67,10,arbusto,nativo
china_muerta,alta,6.2,19.2,14,arbusto,nativo
china_muerta,alta,6.15,19,80,arbusto,nativo
china_muerta,alta,5.95,17.85,16,arbusto,nativo
china_muerta,alta,6.3,17.17,47,arbusto,nativo
china_muerta,alta,6.45,16.57,24,arbusto,nativo
china_muerta,alta,6.67,16.08,10,arbusto,nativo
china_muerta,alta,7.32,16.7,10,arbusto,nativo
china_muerta,alta,7.03,16.31,10,herbaceo,nativo
china_muerta,alta,8.2,15.6,10,arbusto,nativo
china_muerta,alta,9.5,15.8,10,herbaceo,nativo
china_muerta,alta,9.6,17.13,10,herbaceo,nativo
china_muerta,alta,7.1,18.5,10,arbusto,nativo
china_muerta,alta,7.05,18.2,10,arbusto,nativo
china_muerta,alta,8.32,11.23,53,arbusto,nativo
china_muerta,alta,5.75,10.4,10,arbusto,nativo
china_muerta,alta,5.63,10.6,10,arbusto,nativo
china_muerta,alta,5.4,10.94,10,arbusto,nativo
china_muerta,alta,5.44,11.7,10,arbusto,nativo
china_muerta,alta,5.8,12.52,10,arbusto,nativo
china_muerta,alta,5.7,12.66,10,arbusto,nativo
china_muerta,alta,5.37,12.5,10,arbusto,nativo
china_muerta,alta,4.17,12.24,10,arbusto,nativo
china_muerta,alta,3.57,12.5,10,arbusto,nativo
china_muerta,alta,4.19,12.72,10,arbusto,nativo
china_muerta,media,1.4,2.57,13,herbaceo,nativo
china_muerta,media,2,1.45,20,herbaceo,nativo
china_muerta,media,2.4,1.15,15,herbaceo,nativo
china_muerta,media,3.4,0.17,13,herbaceo,nativo
china_muerta,media,3.2,0.02,12,herbaceo,nativo
china_muerta,media,1.95,0.33,13,herbaceo,nativo
china_muerta,media,1.92,0.76,15,herbaceo,nativo
china_muerta,media,3.7,4.7,10,arbusto,nativo
china_muerta,media,0.8,6.32,11,herbaceo,nativo
china_muerta,media,1.43,7,38,arbusto,nativo
china_muerta,media,1.75,7.4,50,arbusto,nativo
china_muerta,media,1.18,7.12,15,herbaceo,nativo
china_muerta,media,1.28,7.1,20,herbaceo,nativo
china_muerta,media,1.23,7.43,10,herbaceo,nativo
china_muerta,media,4.15,9.58,17,herbaceo,nativo
china_muerta,media,4.8,8.85,16,herbaceo,nativo
china_muerta,media,4.85,8.69,20,herbaceo,nativo
china_muerta,media,4.4,8.39,18,herbaceo,nativo
china_muerta,media,4.75,8.3,38,arbusto,nativo
china_muerta,media,4.75,7.7,30,arbusto,nativo
china_muerta,media,3.95,7.8,43,arbusto,nativo
china_muerta,media,4.15,7.1,20,arbusto,nativo
china_muerta,media,4.57,6.6,138,arbol,nativo
china_muerta,media,3.5,5.9,10,arbusto,nativo
china_muerta,media,3.45,7.1,18,herbaceo,nativo
china_muerta,media,7.7,5.5,220,arbol,nativo
china_muerta,media,5.4,7.07,13,arbusto,nativo
china_muerta,media,5.15,7.97,12,arbusto,nativo
china_muerta,media,5.25,8.32,18,arbusto,nativo
china_muerta,media,5.1,8.22,10,arbusto,nativo
china_muerta,media,5.75,8.82,20,arbusto,nativo
china_muerta,media,6.25,8.72,20,arbusto,nativo
china_muerta,media,5.85,9.4,10,arbusto,nativo
china_muerta,media,5.55,9.1,10,arbusto,nativo
china_muerta,media,5.1,8.8,10,arbusto,nativo
china_muerta,media,7.1,9.65,26,arbusto,nativo
china_muerta,media,7.55,9.25,20,arbusto,nativo
china_muerta,media,7.8,9,35,arbusto,nativo
china_muerta,media,7.5,8.6,12,arbusto,nativo
china_muerta,media,7.2,8.1,23,arbusto,nativo
china_muerta,media,8,6.95,10,arbusto,nativo
china_muerta,media,8.05,7.75,10,arbusto,nativo
china_muerta,media,9.4,2.2,35,arbusto,nativo
china_muerta,media,9.3,1.35,20,arbusto,nativo
china_muerta,media,9,1.3,43,arbusto,nativo
china_muerta,media,8.7,1.65,52,arbusto,nativo
china_muerta,media,9.25,2,14,arbusto,nativo
china_muerta,media,8.9,1.85,10,arbusto,nativo
china_muerta,media,9.2,1.3,19,arbusto,nativo
china_muerta,media,5.55,2.06,10,herbaceo,nativo
china_muerta,media,5.6,2.21,10,herbaceo,nativo
china_muerta,media,8.7,4.35,10,herbaceo,nativo
china_muerta,media,0.07,10.02,14,arbusto,nativo
china_muerta,media,0.52,10.31,22,arbusto,nativo
china_muerta,media,0.02,10.64,14,arbusto,nativo
china_muerta,media,0.09,10.95,10,arbusto,nativo
china_muerta,media,0.26,11.32,12,arbusto,nativo
china_muerta,media,0.18,11.77,20,arbusto,nativo
china_muerta,media,0.3,11.64,21,arbusto,nativo
china_muerta,media,0.78,12.12,10,arbusto,nativo
china_muerta,media,1.28,10.25,10,arbusto,nativo
china_muerta,media,0.04,10.89,10,arbusto,nativo
china_muerta,media,0.08,11.11,10,arbusto,nativo
china_muerta,media,0.03,12.08,10,arbusto,nativo
china_muerta,media,0.42,11.13,10,arbusto,nativo
china_muerta,media,1.49,10.78,10,arbusto,nativo
china_muerta,media,0.44,12.89,10,arbusto,nativo
china_muerta,media,0.59,13.14,14,arbusto,nativo
china_muerta,media,0.77,13.11,10,arbusto,nativo
china_muerta,media,0.99,13.3,19,arbusto,nativo
china_muerta,media,1.14,12.3,10,arbusto,nativo
china_muerta,media,0.78,12.82,10,arbusto,nativo
china_muerta,media,1.44,12.43,10,arbusto,nativo
china_muerta,media,2.39,12.48,22,arbusto,nativo
china_muerta,media,2.59,12.38,17,arbusto,nativo
china_muerta,media,2.94,11.93,16,arbusto,nativo
china_muerta,media,2.94,11.13,10,arbusto,nativo
china_muerta,media,3.46,10.98,11,arbusto,nativo
china_muerta,media,3.54,11.36,14,arbusto,nativo
china_muerta,media,3.95,10.89,10,arbusto,nativo
china_muerta,media,4.6,13.95,10,arbusto,nativo
china_muerta,media,5,12.7,12,arbusto,nativo
china_muerta,media,2.14,13.9,16,arbusto,nativo
china_muerta,media,1.89,13.8,15,arbusto,nativo
china_muerta,media,1.89,13.7,18,arbusto,nativo
china_muerta,media,1.49,13.45,15,arbusto,nativo
china_muerta,media,1.49,13.3,16,arbusto,nativo
china_muerta,media,1.76,14.28,24,arbusto,nativo
china_muerta,media,1.81,14.63,13,arbusto,nativo
china_muerta,media,1.69,14.57,18,arbusto,nativo
china_muerta,media,1.14,14.32,17,arbusto,nativo
china_muerta,media,2.95,13.9,19,arbusto,nativo
china_muerta,media,1.35,14.55,10,arbusto,nativo
china_muerta,media,1.72,15.74,15,arbusto,nativo
china_muerta,media,2.99,16.83,19,arbusto,nativo
china_muerta,media,3.96,15.24,19,arbusto,nativo
china_muerta,media,4.11,15.16,24,arbusto,nativo
china_muerta,media,4.27,15.26,28,arbusto,nativo
china_muerta,media,4.35,15.38,46,arbusto,nativo
china_muerta,media,4,15.6,28,arbusto,nativo
china_muerta,media,1.41,19.14,16,arbusto,nativo
china_muerta,media,3.55,15.18,10,arbusto,nativo
china_muerta,media,3.68,15.32,10,arbusto,nativo
china_muerta,media,4.42,15.08,10,arbusto,nativo
china_muerta,media,2.7,19.3,50,arbusto,nativo
china_muerta,media,0.42,19.2,10,arbusto,nativo
china_muerta,media,0.8,19.83,10,arbusto,nativo
china_muerta,media,1.15,16.77,10,arbol,nativo
china_muerta,media,0.95,16.77,10,arbol,nativo
china_muerta,media,0.05,16.14,10,arbol,nativo
china_muerta,media,7.18,18.45,10,arbusto,nativo
china_muerta,media,7.28,18.23,14,arbusto,nativo
china_muerta,media,7.48,17.68,20,arbusto,nativo
china_muerta,media,7.73,17.53,23,arbusto,nativo
china_muerta,media,8.58,18.45,15,arbusto,nativo
china_muerta,media,8.58,18.35,13,arbusto,nativo
china_muerta,media,9.25,18.8,35,arbusto,nativo
china_muerta,media,9.5,18.95,46,arbusto,nativo
china_muerta,media,9.74,19.05,10,arbusto,nativo
china_muerta,media,9.64,18.6,15,arbusto,nativo
china_muerta,media,9.94,18.78,15,arbusto,nativo
china_muerta,media,9.98,18.1,25,arbusto,nativo
china_muerta,media,9.2,17.5,10,arbusto,nativo
china_muerta,media,9.62,15.96,10,arbusto,nativo
china_muerta,media,10,16.63,10,arbusto,nativo
china_muerta,media,5.25,16.14,16,arbusto,nativo
china_muerta,media,5.95,16.09,24,arbusto,nativo
china_muerta,media,6.05,16.24,34,arbusto,nativo
china_muerta,media,6.15,16.48,14,arbusto,nativo
china_muerta,media,6.65,16.28,20,arbusto,nativo
china_muerta,media,7.1,16.43,12,arbusto,nativo
china_muerta,media,7.1,16.59,13,arbusto,nativo
china_muerta,media,7.7,15.77,22,arbusto,nativo
china_muerta,media,8,15.54,16,arbusto,nativo
china_muerta,media,8.3,15.44,15,arbusto,nativo
china_muerta,media,8.45,15.19,14,arbusto,nativo
china_muerta,media,8.53,14.99,27,arbusto,nativo
china_muerta,media,8.18,15.28,18,arbusto,nativo
china_muerta,media,3.33,15.16,10,herbaceo,nativo
china_muerta,media,5.53,15.61,10,arbusto,nativo
china_muerta,media,5.74,16.61,10,arbusto,nativo
china_muerta,media,5.59,18.06,10,arbusto,nativo
china_muerta,media,5.71,18.11,10,arbusto,nativo
china_muerta,media,5.11,14.67,17,arbusto,nativo
china_muerta,media,5.24,13.37,16,arbusto,nativo
china_muerta,media,5.16,12.52,17,arbusto,nativo
china_muerta,media,6.7,11.94,10,arbusto,nativo
china_muerta,media,6.88,12.61,20,arbusto,nativo
china_muerta,media,6.6,12.89,10,arbusto,nativo
china_muerta,media,7.43,13.32,18,arbusto,nativo
china_muerta,media,8.18,13.47,24,arbusto,nativo
china_muerta,media,7.56,13.75,22,arbusto,nativo
china_muerta,media,7.95,13.95,10,arbusto,nativo
china_muerta,media,8.35,14.13,29,arbusto,nativo
china_muerta,media,8.35,14.37,50,arbusto,nativo
china_muerta,media,8.5,14.15,16,arbusto,nativo
china_muerta,media,8.65,14.05,17,arbusto,nativo
china_muerta,media,8.65,14.26,13,arbusto,nativo
china_muerta,media,8.81,14.16,12,arbusto,nativo
china_muerta,media,8.91,14.36,12,arbusto,nativo
china_muerta,media,8.26,10.73,24,arbusto,nativo
china_muerta,media,8.58,10.91,10,arbusto,nativo
china_muerta,media,8.68,11.03,17,arbusto,nativo
china_muerta,media,8.89,11.03,24,arbusto,nativo
china_muerta,media,8.89,11.26,18,arbusto,nativo
china_muerta,media,9.35,10.2,14,arbusto,nativo
china_muerta,media,9.21,10.48,10,arbusto,nativo
china_muerta,media,9.07,10.48,16,arbusto,nativo
china_muerta,media,9.45,10.8,14,arbusto,nativo
china_muerta,media,9.25,10.95,14,arbusto,nativo
china_muerta,media,9.73,11.18,10,arbusto,nativo
china_muerta,media,9.1,11.86,15,arbusto,nativo
china_muerta,media,8.98,11.86,17,arbusto,nativo
