id	x	y	status	Site	Desert
1	82.104	113.801	Alive	Burned	Sonora
2	76.555	119.285	Alive	Burned	Sonora
3	72.695	111.289	Alive	Burned	Sonora
4	58.859	110.653	Alive	Burned	Sonora
5	48.089	111.478	Alive	Burned	Sonora
6	43.938	113.371	Alive	Burned	Sonora
7	47.168	117.327	Alive	Burned	Sonora
8	40.937	115.035	Alive	Burned	Sonora
9	41.627	120.873	Alive	Burned	Sonora
10	47.665	125.908	Alive	Burned	Sonora
11	51.079	126.495	Alive	Burned	Sonora
12	29.065	111.645	Alive	Burned	Sonora
13	9.387	85.876	Alive	Burned	Sonora
14	20.738	90.168	Alive	Burned	Sonora
15	27.311	89.327	Alive	Burned	Sonora
16	28.974	91.895	Alive	Burned	Sonora
17	64.189	125.639	Alive	Burned	Sonora
18	51.790	105.329	Alive	Burned	Sonora
19	77.433	78.042	Alive	Burned	Sonora
20	75.117	75.333	Alive	Burned	Sonora
21	66.490	74.986	Alive	Burned	Sonora
22	55.688	70.857	Alive	Burned	Sonora
23	34.363	72.582	Alive	Burned	Sonora
24	32.160	72.027	Alive	Burned	Sonora
25	26.640	83.221	Alive	Burned	Sonora
26	22.479	69.738	Alive	Burned	Sonora
27	15.698	70.821	Alive	Burned	Sonora
28	14.085	69.120	Alive	Burned	Sonora
29	12.991	74.838	Alive	Burned	Sonora
30	10.046	66.899	Alive	Burned	Sonora
31	6.318	67.402	Alive	Burned	Sonora
32	4.955	67.914	Alive	Burned	Sonora
33	1.891	67.959	Alive	Burned	Sonora
34	0.790	72.166	Alive	Burned	Sonora
35	3.310	73.169	Alive	Burned	Sonora
36	9.820	79.286	Alive	Burned	Sonora
37	7.680	82.723	Alive	Burned	Sonora
38	80.294	48.649	Alive	Burned	Sonora
39	74.070	52.071	Alive	Burned	Sonora
40	70.316	54.540	Alive	Burned	Sonora
41	67.225	61.116	Alive	Burned	Sonora
42	66.980	62.900	Alive	Burned	Sonora
43	63.747	65.694	Alive	Burned	Sonora
44	57.142	59.872	Alive	Burned	Sonora
45	66.897	48.388	Alive	Burned	Sonora
46	68.438	44.851	Alive	Burned	Sonora
47	65.761	42.958	Alive	Burned	Sonora
48	66.708	48.928	Alive	Burned	Sonora
49	52.053	51.584	Alive	Burned	Sonora
50	50.434	54.227	Alive	Burned	Sonora
51	46.779	54.804	Alive	Burned	Sonora
52	41.503	50.192	Alive	Burned	Sonora
53	38.550	48.502	Alive	Burned	Sonora
54	37.273	49.226	Alive	Burned	Sonora
55	39.176	45.851	Alive	Burned	Sonora
56	49.272	42.628	Alive	Burned	Sonora
57	36.827	42.640	Alive	Burned	Sonora
58	33.043	39.756	Alive	Burned	Sonora
59	20.505	44.281	Alive	Burned	Sonora
60	15.497	58.736	Alive	Burned	Sonora
61	5.536	59.520	Alive	Burned	Sonora
62	1.657	64.389	Alive	Burned	Sonora
63	4.515	52.991	Alive	Burned	Sonora
64	19.757	41.780	Alive	Burned	Sonora
65	22.930	39.517	Alive	Burned	Sonora
66	17.089	36.062	Alive	Burned	Sonora
67	81.165	36.267	Alive	Burned	Sonora
68	76.594	32.640	Alive	Burned	Sonora
69	72.773	35.064	Alive	Burned	Sonora
70	78.411	28.605	Alive	Burned	Sonora
71	80.704	25.022	Alive	Burned	Sonora
72	77.244	24.123	Alive	Burned	Sonora
73	69.301	22.978	Alive	Burned	Sonora
74	66.891	26.230	Alive	Burned	Sonora
75	62.607	28.762	Alive	Burned	Sonora
76	53.464	29.998	Alive	Burned	Sonora
77	50.611	38.362	Alive	Burned	Sonora
78	54.280	41.566	Alive	Burned	Sonora
79	42.554	35.085	Alive	Burned	Sonora
80	46.263	31.242	Alive	Burned	Sonora
81	47.819	27.480	Alive	Burned	Sonora
82	45.584	25.007	Alive	Burned	Sonora
83	40.424	26.902	Alive	Burned	Sonora
84	39.591	32.948	Alive	Burned	Sonora
85	33.890	29.121	Alive	Burned	Sonora
86	33.428	25.479	Alive	Burned	Sonora
87	29.170	26.950	Alive	Burned	Sonora
88	29.707	23.701	Alive	Burned	Sonora
89	27.135	25.008	Alive	Burned	Sonora
90	27.031	29.944	Alive	Burned	Sonora
91	25.773	31.897	Alive	Burned	Sonora
92	28.254	34.267	Alive	Burned	Sonora
93	26.185	38.295	Alive	Burned	Sonora
94	20.142	30.643	Alive	Burned	Sonora
95	22.362	27.307	Alive	Burned	Sonora
96	16.412	30.559	Alive	Burned	Sonora
97	19.767	23.054	Alive	Burned	Sonora
